"lambda","borne_a","pp_age_class","time_t","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","mean_n_patients","mean_n_at_risk","sd_n_at_risk","med_n_at_risk","iqr_n_at_risk","mean_cum_cancer","sd_cum_cancer","med_cum_cancer","iqr_cum_cancer","mean_cum_other","sd_cum_other","med_cum_other","iqr_cum_other","mean_cum_total_deaths","sd_cum_total_deaths","med_cum_total_deaths","iqr_cum_total_deaths","mean_cum_censored","sd_cum_censored","med_cum_censored","iqr_cum_censored","se_calibration_ratio"
2e-04,Inf,"Overall",7,0.7823025,0.00569168645239911,2.48,432.915,0.0145293436323614,0.0145293436323614,0.0205661683667608,0.0145625000910776,0.0145628820099302,0.015027816223162,0.824,2000,1564.605,17.7877873941753,1564,23,2.48,1.61747216860638,2,2,432.915,17.7118458802149,433,23,435.395,17.7877873941753,436,23,0,0,0,0,1.0319259754295
5e-04,Inf,"<65",1,0.917984776019044,0.0339855980523335,2.579,73.192,0.00028215054574135,0.00028215054574135,0.00326968524078851,0.0032591000180012,0.00325911866888365,0.00323791541607094,0.917,923.732,914.611,22.2486107359466,914,31,0.374,0.642290071958563,0,1,8.747,2.92874863526534,9,4,9.121,3.00789069056813,9,4,0,0,0,0,0.993494175890205
5e-04,Inf,"<65",4,0.917984776019044,0.0339855980523335,2.579,73.192,0.00129612965437452,0.00129612965437452,0.00696034230023214,0.00684215127842394,0.00684201915237989,0.00694132500384012,0.935,923.732,884.218,22.1110690690291,884,30,1.489,1.22530827973224,1,1,38.025,6.03015238097162,38,8,39.514,6.17624076198054,39,9,0,0,0,0,1.01451411480274
5e-04,Inf,"<65",7,0.917984776019044,0.0339855980523335,2.579,73.192,0.00242687992615442,0.00242687992615442,0.0103413730480035,0.0100578179435654,0.0100576043741912,0.00984591133699964,0.924,923.732,847.961,21.8628329011238,848,29,2.579,1.57296955890228,2,3,73.192,8.63746153344498,73,12,75.771,8.82873181750955,76,12,0,0,0,0,0.978951942300017
5e-04,Inf,">=65",1,0.66285251594314,0.0101579822605007,3.688,359.164,0.00251992248777628,0.00251992248777628,0.00729388646347857,0.00684813589841748,0.00684818721018789,0.00688090150022594,0.914,1076.268,1025.37,22.763815393982,1025,29,0.637,0.784759101155792,0,1,50.261,6.87940442227416,50,9,50.898,6.94058843094501,51,9,0,0,0,0,1.00477707297332
5e-04,Inf,">=65",4,0.66285251594314,0.0101579822605007,3.688,359.164,0.0119590218394535,0.0119590218394535,0.0200237931354813,0.0160680870895398,0.0160683627185995,0.0161164581313452,0.862,1076.268,870.646,22.4201102884296,871,32,2.281,1.5186656463308,2,2,203.341,13.248405158329,203,19,205.622,13.3560285826102,205,18,0,0,0,0,1.00299317445019
5e-04,Inf,">=65",7,0.66285251594314,0.0101579822605007,3.688,359.164,0.0245568574269767,0.0245568574269767,0.0356583412515887,0.0258676506179275,0.0258678797222969,0.0267150946678659,0.842,1076.268,713.416,21.5039383221624,713,27.25,3.688,1.92830868233651,3.5,3,359.164,16.5797464393154,359,23,362.852,16.6909761453513,363,22,0,0,0,0,1.03275161917653
5e-04,Inf,"Overall",1,0.7806885,0.0142814005981191,6.267,432.356,0.00150274573375671,0.00150274573375671,0.00426538498349191,0.00399372477628302,0.00399389728618638,0.00400038102437435,0.914,2000,1939.981,7.55060597903577,1940,10,1.011,1.02368302072806,1,2,59.008,7.41329163684344,59,10,60.019,7.55060597903577,60,10,0,0,0,0,1.00162341135071
5e-04,Inf,"Overall",4,0.7806885,0.0142814005981191,6.267,432.356,0.00710451737118183,0.00710451737118183,0.0116727568380521,0.00926581750425292,0.00926633423058654,0.00923688275070005,0.863,2000,1754.864,14.5359828975821,1755,19,3.77,1.99576628969503,4,3,241.366,14.3356742274494,241,19,245.136,14.5359828975821,245,19,0,0,0,0,0.996821668725343
5e-04,Inf,"Overall",7,0.7806885,0.0142814005981191,6.267,432.356,0.0144742097504924,0.0144742097504924,0.0205019573191426,0.0145262285092907,0.0145271657441931,0.0150447455381055,0.83,2000,1561.377,17.807525908418,1561,23,6.267,2.5772763440022,6,3,432.356,17.6669007860288,433,23,438.623,17.807525908418,439,23,0,0,0,0,1.035628408392
