"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr"
0.04,Inf,0.5972995,0.543412787595445,437.676,367.725,1,0.00135502175672352,0.00135502175672352,0.00622088219977719,0.00606419546531491,0.00607455278797415,0.00586534981409711,0.937
0.04,Inf,0.5972995,0.543412787595445,437.676,367.725,4,0.00578126089584842,0.00578126089584842,0.013028120730813,0.0116620145505149,0.0116809844460303,0.01166183342849,0.909
0.04,Inf,0.5972995,0.543412787595445,437.676,367.725,7,0.0100069983081021,0.0100069983081021,0.018897347821141,0.0159869087469278,0.0160382968703453,0.0161231736876692,0.906
0.055,Inf,0.5400775,0.623194540275843,573.234,346.611,1,0.00155923678390614,0.00155923678390614,0.00674879195086231,0.0065573427317037,0.0065694848792974,0.00637806885109374,0.942
0.055,Inf,0.5400775,0.623194540275843,573.234,346.611,4,0.00548464100931107,0.00548464100931107,0.0133215450653487,0.012122454362053,0.012146184822109,0.0121649775735455,0.928
0.055,Inf,0.5400775,0.623194540275843,573.234,346.611,7,0.00897758920351292,0.00897758920351292,0.0181199590509771,0.0156918322875014,0.0157475011317335,0.0160624924426952,0.918
0.07,Inf,0.488317,0.680095614275694,695.973,327.393,1,0.00157122855773517,0.00157122855773517,0.00719665616233379,0.00700577916422904,0.00702655486077108,0.00683625276468111,0.942
0.07,Inf,0.488317,0.680095614275694,695.973,327.393,4,0.00477336085124482,0.00477336085124482,0.0135978940634008,0.0127104339673181,0.0127389178964482,0.0125298520418365,0.927
0.07,Inf,0.488317,0.680095614275694,695.973,327.393,7,0.00770060976721572,0.00770060976721572,0.0174276986864745,0.0156194737172319,0.0156419295702381,0.0158632032314362,0.918
0.1,Inf,0.3997025,0.756125551368904,907.79,292.805,1,0.00134180956358808,0.00134180956358808,0.00791050187566298,0.0077702057576588,0.00779977073018012,0.00761977868447087,0.944
0.1,Inf,0.3997025,0.756125551368904,907.79,292.805,4,0.0041177149313443,0.0041177149313443,0.0136096333336727,0.0129448339416052,0.0129782501979041,0.0129411297199889,0.925
0.1,Inf,0.3997025,0.756125551368904,907.79,292.805,7,0.0057437611846094,0.0057437611846094,0.0157516568703841,0.014705230947292,0.0146744417562424,0.0151669583162509,0.937
0.3,10.395,0.3018215,0.911671211962279,1273.01,123.347,1,0.00109470058583513,0.00109470058583513,0.0106106416372023,0.0105736714754745,0.0105593013701631,0.0106935520441731,0.943
0.3,10.395,0.3018215,0.911671211962279,1273.01,123.347,4,0.00168456960649051,0.00168456960649051,0.0126628136133568,0.0126786319923984,0.0125565417447676,0.0131152950713389,0.95
0.3,10.395,0.3018215,0.911671211962279,1273.01,123.347,7,0.001283716558857,0.001283716558857,0.0123078714279007,0.0122639373030296,0.0122468672173291,0.0124526378947011,0.951
