"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","dispersion","mean_sd","ecr"
0.004,Inf,0.7625376,0.103901467722708,123.359,1063.953,1,6.73014893436317e-05,6.73014893436317e-05,0.00258197238277505,0.00258238661233378,0.00264574352461672,0.954
0.004,Inf,0.7625376,0.103901467722708,123.359,1063.953,4,7.12377791044323e-05,-7.12377791044323e-05,0.00598946907059752,0.00599204218075678,0.00586284946406599,0.946
0.004,Inf,0.7625376,0.103901467722708,123.359,1063.953,7,0.000464223472473231,-0.000464223472473231,0.00909341758879592,0.00908610462789952,0.00905455363221448,0.956
0.005,Inf,0.7573258,0.126848542316454,153.912,1059.459,1,7.65777552492838e-05,7.65777552492838e-05,0.00261973038808215,0.00261992120888832,0.0026790011057138,0.956
0.005,Inf,0.7573258,0.126848542316454,153.912,1059.459,4,7.8565208777708e-05,-7.8565208777708e-05,0.00605274969751254,0.00605526817584401,0.00589096275161019,0.946
0.005,Inf,0.7573258,0.126848542316454,153.912,1059.459,7,0.000539804380789696,-0.000539804380789696,0.00918245005692424,0.00917115643682829,0.00902380361334558,0.952
0.007,Inf,0.7470864,0.169313368183683,214.105,1050.463,1,2.85793241286183e-05,2.85793241286183e-05,0.00269060629465177,0.00269180074416707,0.00274570266941455,0.957
0.007,Inf,0.7470864,0.169313368183683,214.105,1050.463,4,9.54790668515422e-05,-9.54790668515422e-05,0.00614023895011316,0.0061425686208248,0.00594321255984272,0.945
0.007,Inf,0.7470864,0.169313368183683,214.105,1050.463,7,0.000533636469725751,-0.000533636469725751,0.00922088549480161,0.00921003725359642,0.00895748201352469,0.953
0.01,Inf,0.7320182,0.2255879583193,302.272,1037.637,1,5.16534418211043e-06,5.16534418211043e-06,0.00281378253753855,0.00281518574139165,0.00283943434395777,0.958
0.01,Inf,0.7320182,0.2255879583193,302.272,1037.637,4,0.000162894716316577,-0.000162894716316577,0.00631472374763884,0.00631578106102491,0.00601033048497305,0.955
0.01,Inf,0.7320182,0.2255879583193,302.272,1037.637,7,0.0005129451566004,-0.0005129451566004,0.00931017990730374,0.00930069029764432,0.00885085348914724,0.947
0.014,Inf,0.712402,0.290271005846465,417.412,1020.578,1,1.52576339367226e-05,1.52576339367226e-05,0.00296028410503655,0.00296172601841339,0.00295539234785972,0.958
0.014,Inf,0.712402,0.290271005846465,417.412,1020.578,4,0.000146694080460711,-0.000146694080460711,0.00645534679419096,0.00645690907128048,0.00608196077402723,0.953
0.014,Inf,0.712402,0.290271005846465,417.412,1020.578,7,0.000484817021023755,-0.000484817021023755,0.00933117504528971,0.00932323457201672,0.00869504207442799,0.956
0.019,Inf,0.6886296,0.357853980169302,557.129,999.723,1,4.22909505424601e-06,4.22909505424601e-06,0.00308246284287936,0.00308400232860641,0.00309029950609477,0.959
0.019,Inf,0.6886296,0.357853980169302,557.129,999.723,4,8.49682838201359e-05,-8.49682838201359e-05,0.00667206975842633,0.00667486697254356,0.0061467911501003,0.95
0.019,Inf,0.6886296,0.357853980169302,557.129,999.723,7,0.000408076600880364,-0.000408076600880364,0.00949391058773059,0.00948988248637686,0.00848325816401882,0.95
0.03,Inf,0.639349,0.469890896464284,847.336,955.919,1,2.50427637230691e-05,-2.50427637230691e-05,0.0034559610000648,0.00345759949795263,0.00335162372207037,0.952
0.03,Inf,0.639349,0.469890896464284,847.336,955.919,4,0.000199247104260072,-0.000199247104260072,0.0069707817329376,0.00697142017518379,0.00621273787400163,0.953
0.03,Inf,0.639349,0.469890896464284,847.336,955.919,7,0.000203103055170767,-0.000203103055170767,0.00958215086980694,0.00958479173865533,0.00796874394037984,0.96
0.04,Inf,0.5976078,0.543675919953481,1093.867,918.094,1,0.000108906148024482,-0.000108906148024482,0.00378703971050655,0.00378736760471561,0.00355594337121387,0.951
0.04,Inf,0.5976078,0.543675919953481,1093.867,918.094,4,9.36962729595349e-05,-9.36962729595349e-05,0.0072651558420117,0.00726818663451238,0.00620034294613377,0.953
0.04,Inf,0.5976078,0.543675919953481,1093.867,918.094,7,0.000219860837908334,-0.000219860837908334,0.00959123949735621,0.00959351717981885,0.00746770708502082,0.959
0.055,Inf,0.5402012,0.623504434156212,1433.426,865.568,1,0.00011537208432098,-0.00011537208432098,0.00410161498246812,0.00410204357705698,0.00381266037547356,0.94
0.055,Inf,0.5402012,0.623504434156212,1433.426,865.568,4,0.000126623023203287,-0.000126623023203287,0.00748494360342961,0.00748761722901786,0.00609107042662863,0.957
0.055,Inf,0.5402012,0.623504434156212,1433.426,865.568,7,0.000290289416651511,-0.000290289416651511,0.00977860805866757,0.00977918913610828,0.00670627688101177,0.957
0.07,Inf,0.4887386,0.680368834716058,1739.225,817.082,1,6.4544474040815e-05,-6.4544474040815e-05,0.00436195740377626,0.00436366221781435,0.00402371621766015,0.945
0.07,Inf,0.4887386,0.680368834716058,1739.225,817.082,4,0.00016391683964171,-0.00016391683964171,0.00757558968804869,0.00757760585553599,0.00590638354952242,0.958
0.07,Inf,0.4887386,0.680368834716058,1739.225,817.082,7,3.4340326325028e-05,-3.4340326325028e-05,0.00969920930766608,0.00970400173049705,0.00597197944668074,0.948
0.1,Inf,0.4002656,0.756200603968798,2267.597,731.075,1,0.000102544588024046,-0.000102544588024046,0.00474525484591687,0.00474652058014946,0.0043468674221895,0.953
0.1,Inf,0.4002656,0.756200603968798,2267.597,731.075,4,0.000265390071822893,-0.000265390071822893,0.00792320294406011,0.00792271938699242,0.00541036455813062,0.956
0.1,Inf,0.4002656,0.756200603968798,2267.597,731.075,7,3.41475498405633e-05,3.41475498405633e-05,0.00927180342104406,0.00927637988911468,0.00464561336593509,0.956
0.3,10.5,0.2994212,0.911417643184133,3192.6,310.294,1,0.000252363120427018,-0.000252363120427018,0.00671524376864598,0.00671385787870151,0.00498154262456605,0.947
0.3,10.5,0.2994212,0.911417643184133,3192.6,310.294,4,5.62157231949948e-05,-5.62157231949948e-05,0.00800502714610551,0.00800883517393103,0.00249692259059791,0.955
0.3,10.5,0.2994212,0.911417643184133,3192.6,310.294,7,0.000342995609167299,-0.000342995609167299,0.00755335555532331,0.00754933948659811,0.000996175877707785,0.959
