"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","pp_age_class","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","mean_n_at_risk","sd_n_at_risk","med_n_at_risk","iqr_n_at_risk","mean_n_at_risk_u65","sd_n_at_risk_u65","med_n_at_risk_u65","iqr_n_at_risk_u65","mean_n_at_risk_65_85","sd_n_at_risk_65_85","med_n_at_risk_65_85","iqr_n_at_risk_65_85","mean_n_at_risk_o85","sd_n_at_risk_o85","med_n_at_risk_o85","iqr_n_at_risk_o85","mean_cum_cancer","sd_cum_cancer","med_cum_cancer","iqr_cum_cancer","mean_cum_censored","sd_cum_censored","med_cum_censored","iqr_cum_censored","mean_cum_other","sd_cum_other","med_cum_other","iqr_cum_other","se_calibration_ratio"
2e-04,Inf,0.7823025,0.00569168645239911,2.48,432.915,4,">=65",0.0119586239799524,0.0119586239799524,0.0199883257091481,0.0160242760726761,0.0160243957271255,0.0160868111955994,0.864,1756.934,14.4427226046974,1757,19,885.089,22.156850069561,885,30,854.926,22.3302746325513,855,30.25,16.919,4.12764781400697,17,5,1.523,1.25500838485089,1,1,0,0,0,0,241.543,14.3534725127118,241,19.25,1.00389502790225
2e-04,Inf,0.7823025,0.00569168645239911,2.48,432.915,7,">=65",0.0246181748758429,0.0246181748758429,0.0357718381540954,0.0259661048009894,0.0259662110216341,0.0267088423039916,0.846,1564.605,17.7877873941753,1564,23,849.466,21.881948351636,850,30,707.409,21.5945836969608,706,29,7.73,2.78295613419343,8,4,2.48,1.61747216860638,2,2,0,0,0,0,432.915,17.7118458802149,433,23,1.02859990938758
5e-04,Inf,0.7806885,0.0142814005981191,6.267,432.356,1,"<65",0.00028215054574135,0.00028215054574135,0.00326968524078851,0.0032591000180012,0.00325911866888365,0.00323791541607094,0.917,1939.981,7.55060597903577,1940,10,914.611,22.2486107359466,914,31,993.513,22.5222352816518,994,29,31.857,5.76226993074385,32,7,1.011,1.02368302072806,1,2,0,0,0,0,59.008,7.41329163684344,59,10,0.993494175890205
5e-04,Inf,0.7806885,0.0142814005981191,6.267,432.356,4,"<65",0.00129612965437452,0.00129612965437452,0.00696034230023214,0.00684215127842394,0.00684201915237989,0.00694132500384012,0.935,1754.864,14.5359828975821,1755,19,884.218,22.1110690690291,884,30,853.759,22.3270557041545,854,31,16.887,4.13101637569936,17,5,3.77,1.99576628969503,4,3,0,0,0,0,241.366,14.3356742274494,241,19,1.01451411480274
5e-04,Inf,0.7806885,0.0142814005981191,6.267,432.356,7,"<65",0.00242687992615442,0.00242687992615442,0.0103413730480035,0.0100578179435654,0.0100576043741912,0.00984591133699964,0.924,1561.377,17.807525908418,1561,23,847.961,21.8628329011238,848,29,705.709,21.5535815092498,705,28,7.707,2.77395851552359,8,4,6.267,2.5772763440022,6,3,0,0,0,0,432.356,17.6669007860288,433,23,0.978951942300017
5e-04,Inf,0.7806885,0.0142814005981191,6.267,432.356,1,">=65",0.00251992248777628,0.00251992248777628,0.00729388646347857,0.00684813589841748,0.00684818721018789,0.00688090150022594,0.914,1939.981,7.55060597903577,1940,10,914.611,22.2486107359466,914,31,993.513,22.5222352816518,994,29,31.857,5.76226993074385,32,7,1.011,1.02368302072806,1,2,0,0,0,0,59.008,7.41329163684344,59,10,1.00477707297332
5e-04,Inf,0.7806885,0.0142814005981191,6.267,432.356,4,">=65",0.0119590218394535,0.0119590218394535,0.0200237931354813,0.0160680870895398,0.0160683627185995,0.0161164581313452,0.862,1754.864,14.5359828975821,1755,19,884.218,22.1110690690291,884,30,853.759,22.3270557041545,854,31,16.887,4.13101637569936,17,5,3.77,1.99576628969503,4,3,0,0,0,0,241.366,14.3356742274494,241,19,1.00299317445019
5e-04,Inf,0.7806885,0.0142814005981191,6.267,432.356,7,">=65",0.0245568574269767,0.0245568574269767,0.0356583412515887,0.0258676506179275,0.0258678797222969,0.0267150946678659,0.842,1561.377,17.807525908418,1561,23,847.961,21.8628329011238,848,29,705.709,21.5535815092498,705,28,7.707,2.77395851552359,8,4,6.267,2.5772763440022,6,3,0,0,0,0,432.356,17.6669007860288,433,23,1.03275161917653
0.001,Inf,0.7779915,0.0283014244511689,12.57,431.447,1,"<65",0.000279189965470547,0.000279189965470547,0.00331129026050769,0.00330110474731885,0.00330115036710839,0.00330707708776057,0.921,1939.034,7.60859610800407,1939,10,914.229,22.2229705354487,914,30,992.976,22.5431945300487,993,29,31.829,5.75611777953613,32,7,1.975,1.43332809552783,2,2,0,0,0,0,58.991,7.41538312610393,59,10,1.00179535010317
0.001,Inf,0.7779915,0.0283014244511689,12.57,431.447,4,"<65",0.0012685133909079,0.0012685133909079,0.00708249291233456,0.00697176436426132,0.00697145471269575,0.00706501785288614,0.941,1751.298,14.6119370620293,1752,20,882.732,22.0528116688667,882,30,851.732,22.3303564866489,852,30,16.834,4.11696409911398,17,5,7.631,2.81153761200944,7,3,0,0,0,0,241.071,14.3327382724442,241,19,1.01342089191514
0.001,Inf,0.7779915,0.0283014244511689,12.57,431.447,7,"<65",0.00236184433502976,0.00236184433502976,0.0104418921191923,0.0101766455839219,0.0101763628437013,0.00999194421121017,0.933,1555.983,17.886884906312,1555,22.25,845.459,21.7210525325805,846,29,702.87,21.4502963899153,702,28,7.654,2.75642556255051,8,4,12.57,3.65683913680551,12,5,0,0,0,0,431.447,17.6555064472223,432,23,0.981877745976277
0.001,Inf,0.7779915,0.0283014244511689,12.57,431.447,1,">=65",0.00255950307664397,0.00255950307664397,0.00732370075450991,0.00686522945321101,0.00686532369314592,0.0069165430327405,0.918,1939.034,7.60859610800407,1939,10,914.229,22.2229705354487,914,30,992.976,22.5431945300487,993,29,31.829,5.75611777953613,32,7,1.975,1.43332809552783,2,2,0,0,0,0,58.991,7.41538312610393,59,10,1.00746058625695
0.001,Inf,0.7779915,0.0283014244511689,12.57,431.447,4,">=65",0.0118721171380815,0.0118721171380815,0.0199917160637831,0.0160923567118488,0.0160928719115313,0.0161677666395831,0.866,1751.298,14.6119370620293,1752,20,882.732,22.0528116688667,882,30,851.732,22.3303564866489,852,30,16.834,4.11696409911398,17,5,7.631,2.81153761200944,7,3,0,0,0,0,241.071,14.3327382724442,241,19,1.00465390692621
0.001,Inf,0.7779915,0.0283014244511689,12.57,431.447,7,">=65",0.0243847578921524,0.0243847578921524,0.035465281955384,0.0257646601224423,0.0257649692481158,0.0267315802397195,0.84,1555.983,17.886884906312,1555,22.25,845.459,21.7210525325805,846,29,702.87,21.4502963899153,702,28,7.654,2.75642556255051,8,4,12.57,3.65683913680551,12,5,0,0,0,0,431.447,17.6555064472223,432,23,1.03751648147899
0.002,Inf,0.7727185,0.0548195929003057,24.927,429.636,1,"<65",0.000280614441853529,0.000280614441853529,0.00345552090432938,0.0034457861092179,0.00344583139594639,0.00343735383495168,0.935,1937.044,7.79299652218547,1937,10,913.474,22.2133914285676,913,30,991.782,22.5614604025426,992,30,31.788,5.75014087828465,32,7,3.997,2.08406677780112,4,2.25,0,0,0,0,58.959,7.41648995976691,59,10,0.997539763261579
