"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","se_calibration_ratio"
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,11,0.0313186626200456,0.0313186626200456,0.0466250846683427,0.034557415190286,0.0345576927202618,0.0304295643859256,0.791,0.880543867099211
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,11.5,0.0319702087664204,0.0319702087664204,0.050760059557621,0.0394464194936249,0.0394467418574449,0.0340584403144061,0.819,0.863403128133842
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,12,0.036316306367518,0.036316306367518,0.0577032377192591,0.0448639876150543,0.0448642657071676,0.038335515135733,0.82,0.854477712528535
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,12.5,0.0372976006087648,0.0372976006087648,0.0639970046353992,0.0520307482688198,0.0520308831746715,0.0430093410973127,0.848,0.826611782716183
2e-04,Inf,0.5805565,0.00480512350078669,4.031,834.856,13,0.0417045843225412,0.0417045843225412,0.0754052638118379,0.062853677416122,0.0628540538796507,0.0481311113411643,0.853,0.765759857483863
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,1,0.00150274573375671,0.00150274573375671,0.00426538498349191,0.00399372477628302,0.00399389728618638,0.00400038102437435,0.914,1.00162341135071
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,4,0.00710451737118183,0.00710451737118183,0.0116727568380521,0.00926581750425292,0.00926633423058654,0.00923688275070005,0.863,0.996821668725343
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,7,0.0144742097504924,0.0144742097504924,0.0205019573191426,0.0145262285092907,0.0145271657441931,0.0150447455381055,0.83,1.035628408392
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,7.5,0.0149590621683465,0.0149590621683465,0.0214694461553003,0.0154067454684104,0.0154078219822634,0.0163199891730242,0.851,1.05920156604943
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,8,0.0174763256531037,0.0174763256531037,0.0242677408881985,0.0168447604715529,0.0168459216001372,0.0176471742023278,0.828,1.04756359558174
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,8.5,0.0182303096195872,0.0182303096195872,0.0260407274528011,0.0186033784811159,0.0186043387107394,0.0191729464353743,0.835,1.03056317848624
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,9,0.0208630241353688,0.0208630241353688,0.0293953443703801,0.0207176112960133,0.0207183431848345,0.0208667618622893,0.814,1.00716363640329
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,9.5,0.0218392198328458,0.0218392198328458,0.0316437781630412,0.0229095828530994,0.0229107414895284,0.0228221290550032,0.829,0.996132275571889
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,10,0.0256810602218447,0.0256810602218447,0.0365482328428625,0.0260169233846873,0.0260179438699774,0.0248253331975322,0.787,0.954161993799156
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,10.5,0.0270177270309759,0.0270177270309759,0.0405793562706267,0.030291506776551,0.0302926430943846,0.0274121446353423,0.785,0.904910956430333
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,11,0.0312131126564283,0.0312131126564283,0.046502708353048,0.0344874934352798,0.0344881561609364,0.0304010598325085,0.791,0.881492756256503
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,11.5,0.03186835494583,0.03186835494583,0.0506537936449977,0.0393917149293086,0.039392467937498,0.0340201958625876,0.817,0.863621845591541
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,12,0.0362238659145297,0.0362238659145297,0.0575944435921009,0.0447984541452796,0.0447990896036871,0.0382671316767212,0.827,0.854194404735664
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,12.5,0.0371860790391116,0.0371860790391116,0.0639114066496914,0.0520051615148063,0.0520054611904634,0.0429283345241322,0.849,0.825458202685918
5e-04,Inf,0.578449,0.0120917422388036,10.194,832.908,13,0.0415465899517327,0.0415465899517327,0.0753508980291204,0.0628925976597084,0.0628935154961857,0.0480412819171807,0.854,0.763851114668478
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,1,0.00152176536873223,0.00152176536873223,0.00430211355358219,0.00402562616516368,0.00402599302163492,0.00403000063143903,0.918,1.00099543386751
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,4,0.00704114712378639,0.00704114712378639,0.0116519923883962,0.00928755846013228,0.00928856561863502,0.00928382527670937,0.867,0.999489658347664
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,7,0.0143421176690029,0.0143421176690029,0.0203707060806323,0.0144716518096348,0.0144733826660454,0.0150763006152303,0.833,1.04165701709797
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,7.5,0.0148485964093071,0.0148485964093071,0.0213551740652781,0.0153536879387847,0.0153557299557629,0.0163421739270234,0.86,1.06423947113568
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,8,0.0173739788907956,0.0173739788907956,0.0241095818900093,0.016721841064331,0.0167241290627093,0.0176596238505856,0.849,1.05593683141099
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,8.5,0.018120864554731,0.018120864554731,0.0259381042155511,0.0185658954774607,0.018567829231449,0.0191768609710352,0.846,1.03280037380754
0.001,Inf,0.5749665,0.0239110807966161,20.324,829.743,9,0.0207460256387398,0.0207460256387398,0.0293646848828306,0.0207908792363146,0.020792293233855,0.0208636569444517,0.812,1.00343221932252
