"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","dispersion","mean_sd","ecr"
0.055,Inf,0.5401988,0.623485217569384,1433.389,865.617,4,0.00538130723210778,0.00538130723210778,0.00930196732358527,0.00759116290939864,0.00619548563534017,0.886
0.055,Inf,0.5401988,0.623485217569384,1433.389,865.617,7,0.00904377012455385,0.00904377012455385,0.0135050116378596,0.0100347524897469,0.00697327788703242,0.849
0.07,Inf,0.488724,0.680371715825836,1739.282,817.098,1,0.00132651476557944,0.00132651476557944,0.00455445032401538,0.00435917179167475,0.00403725221085097,0.934
0.07,Inf,0.488724,0.680371715825836,1739.282,817.098,4,0.00494253786523619,0.00494253786523619,0.0091040278788126,0.00764938927138165,0.00600502411537802,0.916
0.07,Inf,0.488724,0.680371715825836,1739.282,817.098,7,0.00816622535211294,0.00816622535211294,0.0129105975052237,0.0100048182306439,0.00619968044381216,0.865
0.1,Inf,0.400252,0.756172615158885,2267.565,731.175,1,0.0012419533005664,0.0012419533005664,0.00491005075074553,0.00475276120936264,0.00436114120736074,0.94
0.1,Inf,0.400252,0.756172615158885,2267.565,731.175,4,0.00414582652790579,0.00414582652790579,0.0090252119182276,0.00802065480325036,0.00549666563290518,0.923
0.1,Inf,0.400252,0.756172615158885,2267.565,731.175,7,0.00633839232023796,0.00633839232023796,0.0114389714627778,0.00952709906201937,0.00481100893447731,0.9
0.3,10.5,0.2994164,0.911408425200475,3192.59,310.328,1,0.000830169004206554,0.000830169004206554,0.00676996747002919,0.00672223678823837,0.00499685523912386,0.949
0.3,10.5,0.2994164,0.911408425200475,3192.59,310.328,4,0.00155669807871968,0.00155669807871968,0.00818060357552704,0.00803514340140345,0.00252889950476473,0.957
0.3,10.5,0.2994164,0.911408425200475,3192.59,310.328,7,0.00077754210766352,0.00077754210766352,0.00768085669277728,0.00764522316502499,0.00102071234255706,0.959
