"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","dispersion","mean_sd","ecr"
0.019,Inf,0.6885235,0.357559662701327,222.75,400.203,4,0.00662698790399903,0.00662698790399903,0.0126162495768942,0.0107409567944198,0.0099012186216942,0.882
0.019,Inf,0.6885235,0.357559662701327,222.75,400.203,7,0.0122587595398912,0.0122587595398912,0.0195973154900966,0.0152974377123121,0.0140263176709302,0.882
0.03,Inf,0.6392795,0.469411833748122,338.653,382.788,1,0.00126916063589454,0.00126916063589454,0.00585203392318173,0.00571561024903592,0.00531965850359521,0.931
0.03,Inf,0.6392795,0.469411833748122,338.653,382.788,4,0.00626910862434462,0.00626910862434462,0.0130486749174354,0.0114497725500782,0.0100003455629738,0.904
0.03,Inf,0.6392795,0.469411833748122,338.653,382.788,7,0.0113454031499338,0.0113454031499338,0.0192031060904813,0.0155010126211171,0.0131448254616165,0.897
0.04,Inf,0.5972995,0.543412787595445,437.676,367.725,1,0.00135502175672352,0.00135502175672352,0.00622088219977719,0.00607455278797415,0.00563743144335331,0.937
0.04,Inf,0.5972995,0.543412787595445,437.676,367.725,4,0.00578126089584842,0.00578126089584842,0.013028120730813,0.0116809844460303,0.00997624438249474,0.909
0.04,Inf,0.5972995,0.543412787595445,437.676,367.725,7,0.0100069983081021,0.0100069983081021,0.018897347821141,0.0160382968703453,0.0122979094984082,0.906
0.055,Inf,0.5400775,0.623194540275843,573.234,346.611,1,0.00155923678390614,0.00155923678390614,0.00674879195086231,0.0065694848792974,0.00603873945099367,0.942
0.055,Inf,0.5400775,0.623194540275843,573.234,346.611,4,0.00548464100931107,0.00548464100931107,0.0133215450653487,0.012146184822109,0.00979436456387446,0.928
0.055,Inf,0.5400775,0.623194540275843,573.234,346.611,7,0.00897758920351292,0.00897758920351292,0.0181199590509771,0.0157475011317335,0.0110246116768454,0.918
0.07,Inf,0.488317,0.680095614275694,695.973,327.393,1,0.00157122855773517,0.00157122855773517,0.00719665616233379,0.00702655486077108,0.00637475328467861,0.942
0.07,Inf,0.488317,0.680095614275694,695.973,327.393,4,0.00477336085124482,0.00477336085124482,0.0135978940634008,0.0127389178964482,0.00949074494589226,0.927
0.07,Inf,0.488317,0.680095614275694,695.973,327.393,7,0.00770060976721572,0.00770060976721572,0.0174276986864745,0.0156419295702381,0.0097963950489184,0.918
0.1,Inf,0.3997025,0.756125551368904,907.79,292.805,1,0.00134180956358808,0.00134180956358808,0.00791050187566298,0.00779977073018012,0.00689058000138042,0.944
0.1,Inf,0.3997025,0.756125551368904,907.79,292.805,4,0.0041177149313443,0.0041177149313443,0.0136096333336727,0.0129782501979041,0.00868764118362835,0.925
0.1,Inf,0.3997025,0.756125551368904,907.79,292.805,7,0.0057437611846094,0.0057437611846094,0.0157516568703841,0.0146744417562424,0.00759589801224779,0.937
0.3,10.395,0.3018215,0.911671211962279,1273.01,123.347,1,0.00109470058583513,0.00109470058583513,0.0106106416372023,0.0105593013701631,0.00789983466593836,0.943
0.3,10.395,0.3018215,0.911671211962279,1273.01,123.347,4,0.00168456960649051,0.00168456960649051,0.0126628136133568,0.0125565417447676,0.00400519988289095,0.95
0.3,10.395,0.3018215,0.911671211962279,1273.01,123.347,7,0.001283716558857,0.001283716558857,0.0123078714279007,0.0122468672173291,0.00162830322650365,0.951
