"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","dispersion","mean_sd","ecr"
0.004,Inf,0.7622215,0.104151081459037,49.542,426.015,1,0.00146766019521932,0.00146766019521932,0.00447019138075526,0.00422450363509257,0.00420005353545369,0.919
0.004,Inf,0.7622215,0.104151081459037,49.542,426.015,4,0.00693755092898228,0.00693755092898228,0.0118457354378778,0.00960646237130309,0.00945738650290051,0.868
0.004,Inf,0.7622215,0.104151081459037,49.542,426.015,7,0.013851762438737,0.013851762438737,0.0202203015250341,0.0147379265021127,0.0150183522945805,0.847
0.005,Inf,0.757101,0.126712383176617,61.578,424.22,1,0.00143690841120888,0.00143690841120888,0.00449251702381158,0.00425865466627674,0.00425475658545854,0.922
0.005,Inf,0.757101,0.126712383176617,61.578,424.22,4,0.00685585581226978,0.00685585581226978,0.0118470880445022,0.00966665300897628,0.00950250198737423,0.865
0.005,Inf,0.757101,0.126712383176617,61.578,424.22,7,0.0137860510794457,0.0137860510794457,0.0202938387931131,0.0148998891033143,0.0149626243904242,0.846
0.007,Inf,0.747003,0.168600406054766,85.333,420.661,1,0.00144194005617813,0.00144194005617813,0.00459746047942233,0.00436766851563871,0.00435739251035713,0.93
0.007,Inf,0.747003,0.168600406054766,85.333,420.661,4,0.00669799800540958,0.00669799800540958,0.0120214636492562,0.00998760047023665,0.00958437375794607,0.877
0.007,Inf,0.747003,0.168600406054766,85.333,420.661,7,0.0137076337076603,0.0137076337076603,0.0203123934230111,0.0149973005481497,0.0148513924435378,0.843
0.01,Inf,0.732068,0.22480215635923,120.477,415.387,1,0.00141056757080472,0.00141056757080472,0.00472764593336864,0.0045145671460293,0.00450620216102913,0.925
0.01,Inf,0.732068,0.22480215635923,120.477,415.387,4,0.00674908193364958,0.00674908193364958,0.012229307346275,0.0102034288934517,0.00968744471980747,0.879
0.01,Inf,0.732068,0.22480215635923,120.477,415.387,7,0.0135459923845051,0.0135459923845051,0.0202902983838227,0.0151139250214178,0.0146689535989619,0.853
0.014,Inf,0.7123985,0.289945202012359,166.777,408.426,1,0.00142779205790747,0.00142779205790747,0.00504283700819599,0.00483890793057359,0.00468908669531234,0.923
0.014,Inf,0.7123985,0.289945202012359,166.777,408.426,4,0.00692676247254625,0.00692676247254625,0.0126226793391575,0.0105576256235446,0.00979739256956977,0.878
0.014,Inf,0.7123985,0.289945202012359,166.777,408.426,7,0.012992474235653,0.012992474235653,0.019958797115854,0.0151584621423888,0.0143966417968964,0.863
0.019,Inf,0.6885235,0.357559662701327,222.75,400.203,1,0.00139848766490553,0.00139848766490553,0.00525270057074843,0.00506564470658388,0.00490330416870097,0.928
